地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/06/23,06:50:50.7,岩手県沖,39°56.8′N,142°35.4′E,36 km,6.9,震度５弱
2011/06/04,01:00:14.1,福島県沖,36°59.4′N,141°12.6′E,30 km,5.5,震度５弱
2011/06/02,11:33:48.0,新潟県中越地方,37°01.0′N,138°42.3′E,6 km,4.7,震度５強
2011/05/25,05:36:13.4,福島県浜通り,37°06.7′N,140°49.8′E,7 km,5.0,震度５弱
2011/05/06,02:04:27.3,福島県浜通り,37°05.9′N,140°48.5′E,6 km,5.2,震度５弱
2011/04/23,00:25:16.1,福島県沖,37°10.1′N,141°11.6′E,21 km,5.4,震度５弱
2011/04/21,22:37:02.1,千葉県東方沖,35°40.5′N,140°41.1′E,46 km,6.0,震度５弱
2011/04/19,04:14:27.2,秋田県内陸南部,39°36.1′N,140°23.2′E,6 km,4.9,震度５弱
2011/04/17,00:56:22.4,新潟県中越地方,37°01.3′N,138°41.3′E,8 km,4.9,震度５弱
2011/04/16,11:19:31.6,茨城県南部,36°20.4′N,139°56.7′E,79 km,5.9,震度５強
2011/04/13,10:07:58.0,福島県浜通り,36°54.9′N,140°42.4′E,5 km,5.7,震度５弱
2011/04/12,14:07:42.2,福島県中通り,37°03.1′N,140°38.6′E,15 km,6.4,震度６弱
2011/04/12,08:08:15.8,千葉県東方沖,35°28.9′N,140°52.0′E,26 km,6.4,震度５弱
2011/04/12,07:26:16.8,長野県北部,36°49.1′N,138°36.3′E,0 km,5.6,震度５弱
2011/04/11,20:42:35.1,福島県浜通り,36°57.9′N,140°38.0′E,11 km,5.9,震度５弱
2011/04/11,17:26:29.0,福島県中通り,37°03.7′N,140°37.3′E,5 km,5.4,震度５弱
2011/04/11,17:17:47.5,福島県浜通り,36°53.4′N,140°42.9′E,9 km,5.7,震度５弱
2011/04/11,17:16:12.0,福島県浜通り,36°56.7′N,140°40.3′E,6 km,7.0,震度６弱
2011/04/09,18:42:20.3,宮城県沖,38°14.8′N,141°48.8′E,58 km,5.4,震度５弱
2011/04/07,23:32:43.4,宮城県沖,38°12.2′N,141°55.2′E,66 km,7.2,震度６強
2011/04/02,16:55:53.6,茨城県南部,36°12.4′N,139°57.7′E,54 km,5.0,震度５弱
2011/04/01,19:49:44.1,秋田県内陸北部,40°15.4′N,140°21.8′E,12 km,5.0,震度５強
2011/03/31,16:15:29.6,宮城県沖,38°52.3′N,142°05.0′E,47 km,6.1,震度５弱
2011/03/28,07:23:57.0,宮城県沖,38°23.0′N,142°20.7′E,32 km,6.5,震度５弱
2011/03/24,17:20:58.6,岩手県沖,39°04.6′N,142°21.4′E,34 km,6.2,震度５弱
2011/03/24,08:56:49.4,茨城県南部,36°10.6′N,140°02.5′E,52 km,4.8,震度５弱
2011/03/23,18:55:20.2,福島県浜通り,37°06.6′N,140°45.6′E,9 km,4.7,震度５強
2011/03/23,07:36:31.3,福島県浜通り,37°03.8′N,140°46.2′E,7 km,5.8,震度５弱
2011/03/23,07:34:56.0,福島県浜通り,37°05.8′N,140°47.7′E,7 km,5.5,震度５強
2011/03/23,07:12:28.7,福島県浜通り,37°05.0′N,140°47.2′E,8 km,6.0,震度５強
2011/03/19,18:56:48.0,茨城県北部,36°47.0′N,140°34.2′E,5 km,6.1,震度５強
2011/03/16,12:52:02.7,千葉県東方沖,35°50.2′N,140°54.3′E,10 km,6.1,震度５弱
2011/03/15,22:31:46.3,静岡県東部,35°18.5′N,138°42.8′E,14 km,6.4,震度６強
2011/03/14,10:02:38.7,茨城県沖,36°27.5′N,141°07.5′E,32 km,6.2,震度５弱
2011/03/13,08:24:46.9,宮城県沖,38°00.7′N,141°56.9′E,15 km,6.2,震度５弱
2011/03/12,23:34:58.7,長野県北部,36°58.0′N,138°34.0′E,5 km,3.7,震度５弱
2011/03/12,22:15:41.7,福島県沖,37°11.8′N,141°25.5′E,40 km,6.2,震度５弱
2011/03/12,05:42:19.8,長野県北部,36°58.3′N,138°35.4′E,4 km,5.3,震度６弱
2011/03/12,04:31:55.6,長野県北部,36°56.9′N,138°34.3′E,1 km,5.9,震度６弱
2011/03/12,03:59:15.6,長野県北部,36°59.1′N,138°35.8′E,8 km,6.7,震度６強
2011/03/11,20:36:39.9,岩手県沖,39°13.8′N,142°34.7′E,24 km,6.7,震度５弱
2011/03/11,17:40:54.5,福島県沖,37°25.4′N,141°16.3′E,30 km,6.0,震度５強
2011/03/11,16:30:15.6,福島県沖,37°21.8′N,141°15.5′E,27 km,5.9,震度５弱
2011/03/11,16:28:59.8,岩手県沖,39°01.3′N,142°18.6′E,17 km,6.6,震度５強
2011/03/11,15:18:12.0,茨城県沖,36°01.0′N,141°01.7′E,41 km,4.7,震度５弱
2011/03/11,15:15:34.2,茨城県沖,36°07.2′N,141°15.1′E,43 km,7.6,震度６強
2011/03/11,15:12:58.6,福島県沖,37°13.6′N,141°38.7′E,39 km,6.7,震度５弱
2011/03/11,15:08:53.4,岩手県沖,39°49.2′N,142°46.0′E,32 km,7.4,震度５弱
2011/03/11,15:08:20.3,静岡県伊豆地方,35°10.7′N,139°01.5′E,6 km,4.6,震度５弱
2011/03/11,15:06:10.7,岩手県沖,39°02.6′N,142°23.8′E,29 km,6.5,震度５弱
2011/03/11,14:58:05.5,福島県沖,37°41.3′N,141°56.0′E,35 km,6.6,震度５弱
2011/03/11,14:54:31.3,福島県沖,37°30.4′N,141°21.1′E,34 km,6.1,震度５弱
2011/03/11,14:51:20.5,福島県沖,37°18.6′N,142°14.2′E,33 km,6.8,震度５弱
2011/03/11,14:46:18.1,三陸沖,38°06.2′N,142°51.6′E,24 km,9.0,震度７
2011/03/09,11:45:12.9,三陸沖,38°19.7′N,143°16.7′E,8 km,7.3,震度５弱
2010/10/03,09:26:52.8,新潟県上越地方,37°08.3′N,138°25.0′E,22 km,4.7,震度５弱
2010/07/23,06:06:31.4,千葉県北東部,35°52.7′N,140°29.1′E,35 km,5.0,震度５弱
2010/06/13,12:32:57.0,福島県沖,37°23.7′N,141°47.7′E,40 km,6.2,震度５弱
2010/03/14,17:08:04.1,福島県沖,37°43.4′N,141°49.0′E,40 km,6.7,震度５弱
2010/02/27,05:31:25.9,沖縄本島近海,25°55.1′N,128°40.8′E,37 km,7.2,震度５弱
2009/12/18,08:45:36.7,静岡県伊豆地方,34°57.6′N,139°07.7′E,5 km,5.1,震度５弱
2009/12/17,23:45:24.5,静岡県伊豆地方,34°57.5′N,139°08.1′E,4 km,5.0,震度５弱
2009/08/13,07:48:51.7,八丈島東方沖,32°52.1′N,140°49.5′E,57 km,6.6,震度５弱
2009/08/11,05:07:05.7,駿河湾,34°47.1′N,138°29.9′E,23 km,6.5,震度６弱
2008/09/11,09:20:51.3,十勝沖,41°46.5′N,144°09.0′E,31 km,7.1,震度５弱
2008/07/24,00:26:19.6,岩手県沿岸北部,39°43.9′N,141°38.1′E,108 km,6.8,震度６弱
2008/07/08,16:42:10.5,沖縄本島近海,27°27.9′N,128°32.8′E,45 km,6.1,震度５弱
2008/07/05,16:49:02.5,茨城県沖,36°38.5′N,140°57.1′E,50 km,5.2,震度５弱
2008/06/14,09:20:11.8,宮城県北部,38°53.1′N,140°40.3′E,7 km,5.7,震度５弱
2008/06/14,08:43:45.3,岩手県内陸南部,39°01.7′N,140°52.8′E,8 km,7.2,震度６強
2008/05/08,01:45:18.7,茨城県沖,36°13.6′N,141°36.4′E,51 km,7.0,震度５弱
2008/01/26,04:33:25.3,石川県能登地方,37°19.1′N,136°46.4′E,11 km,4.8,震度５弱
2007/10/01,02:21:14.6,神奈川県西部,35°13.7′N,139°06.6′E,13 km,4.9,震度５強
2007/08/18,04:14:43.5,千葉県南部,35°20.9′N,140°21.6′E,23 km,4.8,震度５弱
2007/07/16,15:37:40.4,新潟県上中越沖,37°30.2′N,138°38.6′E,23 km,5.8,震度６弱
2007/07/16,10:13:22.5,新潟県上中越沖,37°33.4′N,138°36.5′E,17 km,6.8,震度６強
2007/04/15,12:19:29.5,三重県中部,34°47.4′N,136°24.4′E,16 km,5.4,震度５強
2007/03/28,08:08:14.5,石川県能登地方,37°13.3′N,136°42.5′E,13 km,4.9,震度５弱
2007/03/26,14:46:34.6,能登半島沖,37°09.9′N,136°33.1′E,9 km,4.8,震度５弱
2007/03/25,18:11:45.1,石川県能登地方,37°18.2′N,136°50.3′E,13 km,5.3,震度５弱
2007/03/25,09:41:57.9,能登半島沖,37°13.2′N,136°41.1′E,11 km,6.9,震度６強
2006/06/12,05:01:24.9,大分県西部,33°08.1′N,131°26.1′E,145 km,6.2,震度５弱
2006/04/30,13:10:36.2,伊豆半島東方沖,35°04.4′N,139°06.4′E,6 km,4.5,震度５弱
2006/03/27,11:50:26.3,日向灘,32°36.1′N,132°09.4′E,35 km,5.5,震度５弱
2005/10/19,20:44:42.6,茨城県沖,36°22.9′N,141°02.5′E,48 km,6.3,震度５弱
2005/08/21,11:29:30.1,新潟県中越地方,37°17.9′N,138°42.7′E,17 km,5.0,震度５強
2005/08/16,11:46:25.7,宮城県沖,38°08.9′N,142°16.6′E,42 km,7.2,震度６弱
2005/07/23,16:34:56.3,千葉県北西部,35°34.9′N,140°08.3′E,73 km,6.0,震度５強
2005/06/20,13:03:13.1,新潟県中越地方,37°13.7′N,138°35.4′E,15 km,5.0,震度５弱
2005/06/03,04:16:41.8,熊本県天草・芦北地方,32°29.7′N,130°32.8′E,11 km,4.8,震度５弱
2005/04/20,06:11:26.8,福岡県北西沖,33°40.6′N,130°17.2′E,14 km,5.8,震度５強
2005/04/11,07:22:15.6,千葉県北東部,35°43.6′N,140°37.2′E,52 km,6.1,震度５強
2005/03/20,10:53:40.3,福岡県北西沖,33°44.3′N,130°10.5′E,9 km,7.0,震度６弱
2005/02/16,04:46:36.1,茨城県南部,36°02.3′N,139°53.3′E,46 km,5.3,震度５弱
2005/01/18,23:09:06.6,釧路沖,42°52.5′N,145°00.4′E,50 km,6.4,震度５強
2004/12/28,18:30:36.8,新潟県中越地方,37°19.3′N,138°58.9′E,8 km,5.0,震度５弱
2004/12/14,14:56:10.5,留萌地方南部,44°04.6′N,141°41.9′E,9 km,6.1,震度５強
2004/12/06,23:15:11.8,釧路沖,42°50.8′N,145°20.5′E,46 km,6.9,震度５強
2004/11/29,03:32:14.5,釧路沖,42°56.7′N,145°16.5′E,48 km,7.1,震度５強
2004/11/10,03:43:08.3,新潟県中越地方,37°22.1′N,139°00.0′E,5 km,5.3,震度５弱
2004/11/08,11:15:58.5,新潟県中越地方,37°23.7′N,139°01.9′E,0 km,5.9,震度５強
2004/11/04,08:57:29.5,新潟県中越地方,37°25.8′N,138°54.9′E,18 km,5.2,震度５強
2004/10/27,10:40:50.2,新潟県中越地方,37°17.5′N,139°02.0′E,12 km,6.1,震度６弱
2004/10/25,06:04:57.5,新潟県中越地方,37°19.8′N,138°56.8′E,15 km,5.8,震度５強
2004/10/25,00:28:08.9,新潟県中越地方,37°12.1′N,138°52.2′E,10 km,5.3,震度５弱
2004/10/24,14:21:34.9,新潟県中越地方,37°14.7′N,138°49.5′E,11 km,5.0,震度５強
2004/10/23,19:48:35.9,新潟県中越地方,37°17.8′N,138°50.1′E,14 km,4.4,震度５弱
2004/10/23,19:45:57.1,新潟県中越地方,37°17.7′N,138°52.5′E,12 km,5.7,震度６弱
2004/10/23,19:36:45.9,新潟県中越地方,37°13.0′N,138°49.4′E,11 km,5.3,震度５弱
2004/10/23,18:57:26.2,新潟県中越地方,37°12.3′N,138°51.8′E,8 km,5.3,震度５強
2004/10/23,18:41:44.2,新潟県中越地方,37°14.3′N,138°54.4′E,9 km,4.2,震度５弱
2004/10/23,18:36:50.9,新潟県中越地方,37°15.3′N,138°56.4′E,7 km,5.1,震度５弱
2004/10/23,18:34:05.6,新潟県中越地方,37°18.3′N,138°55.8′E,14 km,6.5,震度６強
2004/10/23,18:11:56.7,新潟県中越地方,37°15.1′N,138°49.7′E,12 km,6.0,震度６強
2004/10/23,18:07:30.9,新潟県中越地方,37°20.8′N,138°51.9′E,15 km,5.7,震度５強
2004/10/23,18:03:12.6,新潟県中越地方,37°21.2′N,138°59.0′E,9 km,6.3,震度５強
2004/10/23,17:59:37.6,新潟県中越地方,37°18.7′N,138°51.3′E,16 km,5.3,震度５強
2004/10/23,17:56:00.3,新潟県中越地方,37°17.5′N,138°52.0′E,13 km,6.8,震度７
2004/10/15,13:08:51.5,与那国島近海,24°36.1′N,122°49.6′E,83 km,6.6,震度５弱
2004/10/06,23:40:40.1,茨城県南部,35°59.3′N,140°05.3′E,66 km,5.7,震度５弱
2004/09/05,23:57:16.8,三重県南東沖,33°08.2′N,137°08.4′E,44 km,7.4,震度５弱
2004/09/05,19:07:07.5,三重県南東沖,33°01.9′N,136°47.8′E,38 km,7.1,震度５弱
2004/08/10,15:13:30.9,岩手県沖,39°40.4′N,142°07.9′E,48 km,5.8,震度５弱
2003/09/26,06:08:01.8,十勝沖,41°42.5′N,143°41.4′E,21 km,7.1,震度６弱
2003/09/26,04:50:07.4,十勝沖,41°46.7′N,144°04.7′E,45 km,8.0,震度６弱
2003/07/28,04:08:05.1,宮城県北部,38°27.5′N,141°08.9′E,14 km,5.1,震度５弱
2003/07/26,16:56:44.5,宮城県中部,38°30.0′N,141°11.3′E,12 km,5.5,震度６弱
2003/07/26,10:22:24.5,宮城県北部,38°27.3′N,141°09.8′E,13 km,5.1,震度５弱
2003/07/26,07:13:31.5,宮城県中部,38°24.3′N,141°10.2′E,12 km,6.4,震度６強
2003/07/26,00:13:08.2,宮城県中部,38°26.0′N,141°09.8′E,12 km,5.6,震度６弱
2003/05/26,18:24:33.4,宮城県沖,38°49.2′N,141°39.0′E,72 km,7.1,震度６弱
2002/11/04,13:36:00.0,日向灘,32°24.7′N,131°52.1′E,35 km,5.9,震度５弱
2002/11/03,12:37:43.6,宮城県沖,38°53.7′N,142°08.3′E,46 km,6.3,震度５弱
2002/10/14,23:12:43.4,青森県東方沖,41°09.1′N,142°16.8′E,53 km,6.1,震度５弱
2002/02/12,22:44:37.9,茨城県沖,36°35.3′N,141°04.9′E,48 km,5.7,震度５弱
2001/12/09,05:29:34.5,奄美大島近海,28°14.9′N,129°29.3′E,36 km,6.0,震度５強
2001/12/08,04:07:39.7,神奈川県西部,35°32.4′N,139°08.7′E,24 km,4.6,震度５弱
2001/12/02,22:01:55.2,岩手県内陸南部,39°23.9′N,141°15.7′E,122 km,6.4,震度５弱
2001/04/03,23:57:12.4,静岡県中部,35°01.4′N,138°05.6′E,30 km,5.3,震度５強
2001/03/26,05:40:53.4,安芸灘,34°07.0′N,132°42.5′E,46 km,5.2,震度５強
2001/03/24,15:27:54.5,安芸灘,34°07.9′N,132°41.6′E,46 km,6.7,震度６弱
2001/02/13,01:19:32.0,新島・神津島近海,34°19.7′N,139°09.5′E,7 km,4.5,震度５弱
2001/01/04,13:18:21.5,新潟県中越地方,36°57.3′N,138°46.1′E,11 km,5.3,震度５弱
2001/01/02,19:53:22.2,新潟県中越地方,37°15.2′N,138°36.0′E,12 km,4.5,震度５弱
2000/11/14,01:11:42.1,西表島付近,24°29.1′N,123°45.2′E,8 km,4.9,震度５弱
2000/10/31,01:42:52.9,三重県南部,34°17.9′N,136°19.2′E,39 km,5.7,震度５弱
2000/10/08,20:51:17.1,島根県東部,35°22.1′N,133°18.6′E,8 km,5.2,震度５弱
2000/10/06,16:21:50.0,鳥取県西部,35°19.4′N,133°19.4′E,6 km,4.1,震度５弱
2000/10/06,13:30:17.9,鳥取県西部,35°16.4′N,133°20.9′E,9 km,7.3,震度６強
2000/10/02,17:04:05.1,トカラ列島近海,29°27.4′N,129°26.0′E,21 km,4.6,震度５弱
2000/10/02,16:44:08.7,トカラ列島近海,29°24.7′N,129°27.5′E,25 km,5.9,震度５強
2000/10/02,16:29:40.3,トカラ列島近海,29°23.7′N,129°20.4′E,22 km,5.3,震度５弱
2000/09/11,07:49:47.1,新島・神津島近海,34°30.9′N,139°13.1′E,11 km,5.4,震度５弱
2000/08/29,11:00:37.4,新島・神津島近海,34°22.9′N,139°13.6′E,10 km,5.1,震度５弱
2000/08/18,12:49:12.6,新島・神津島近海,34°17.6′N,139°10.4′E,7 km,5.1,震度６弱
2000/08/18,10:52:22.6,新島・神津島近海,34°12.0′N,139°14.4′E,12 km,6.1,震度６弱
2000/08/16,02:37:13.9,新島・神津島近海,34°09.7′N,139°15.7′E,15 km,5.1,震度５弱
2000/08/05,13:15:37.4,新島・神津島近海,34°13.9′N,139°15.1′E,15 km,4.8,震度５弱
2000/08/04,04:23:39.8,新島・神津島近海,34°14.2′N,139°08.0′E,13 km,4.8,震度５弱
2000/08/04,01:47:13.9,新島・神津島近海,34°14.2′N,139°13.6′E,12 km,4.6,震度５弱
2000/08/03,22:18:11.0,新島・神津島近海,34°14.6′N,139°14.1′E,13 km,5.4,震度５強
2000/08/03,21:13:12.9,新島・神津島近海,34°13.7′N,139°15.1′E,10 km,5.4,震度５弱
2000/08/03,18:04:45.7,新島・神津島近海,34°11.5′N,139°15.0′E,15 km,5.0,震度５弱
2000/08/03,17:00:20.5,新島・神津島近海,34°12.9′N,139°14.2′E,13 km,5.0,震度５強
2000/08/03,06:42:27.6,新島・神津島近海,34°13.2′N,139°17.1′E,16 km,5.2,震度５弱
2000/07/30,21:48:57.1,三宅島近海,34°01.2′N,139°24.2′E,17 km,5.9,震度５強
2000/07/30,21:25:46.6,三宅島近海,33°58.2′N,139°24.6′E,17 km,6.5,震度６弱
2000/07/30,09:18:02.2,三宅島近海,34°01.8′N,139°24.1′E,11 km,6.0,震度５強
2000/07/28,22:32:44.4,三宅島近海,34°09.3′N,139°19.1′E,14 km,5.0,震度５弱
2000/07/28,13:39:20.4,新島・神津島近海,34°12.5′N,139°12.3′E,16 km,5.0,震度５弱
2000/07/27,10:49:53.3,新島・神津島近海,34°11.4′N,139°17.5′E,13 km,5.8,震度５強
2000/07/24,17:44:15.8,新島・神津島近海,34°22.0′N,139°11.9′E,6 km,4.9,震度５弱
2000/07/24,06:52:45.8,新島・神津島近海,34°11.2′N,139°13.4′E,12 km,5.7,震度５強
2000/07/23,12:15:09.1,新島・神津島近海,34°15.8′N,139°15.1′E,11 km,5.3,震度５弱
2000/07/21,03:39:18.6,茨城県沖,36°31.7′N,141°07.1′E,49 km,6.4,震度５弱
2000/07/20,12:29:53.5,新島・神津島近海,34°13.2′N,139°14.4′E,15 km,4.4,震度５弱
2000/07/20,12:10:26.1,新島・神津島近海,34°12.0′N,139°14.8′E,15 km,5.2,震度５弱
2000/07/20,11:19:15.8,新島・神津島近海,34°12.4′N,139°13.8′E,12 km,5.1,震度５弱
2000/07/20,02:32:21.5,新島・神津島近海,34°17.5′N,139°10.4′E,7 km,5.1,震度５強
2000/07/15,10:30:32.0,新島・神津島近海,34°25.4′N,139°14.5′E,10 km,6.3,震度６弱
2000/07/09,03:57:44.9,新島・神津島近海,34°12.7′N,139°13.8′E,15 km,6.1,震度６弱
2000/07/01,16:01:56.3,新島・神津島近海,34°11.4′N,139°11.6′E,16 km,6.5,震度６弱
2000/06/29,12:11:52.5,新島・神津島近海,34°14.1′N,139°09.6′E,12 km,5.4,震度５弱
2000/06/08,09:32:46.1,熊本県熊本地方,32°41.5′N,130°45.7′E,10 km,5.0,震度５弱
2000/06/07,06:16:43.2,石川県西方沖,36°49.5′N,135°33.7′E,21 km,6.2,震度５弱
2000/06/03,17:54:47.7,千葉県東方沖,35°41.3′N,140°44.7′E,48 km,6.1,震度５弱
2000/04/01,03:12:23.0,胆振地方西部,42°30.2′N,140°49.6′E,7 km,4.9,震度５弱
2000/03/30,18:16:59.9,胆振地方西部,42°32.1′N,140°49.7′E,4 km,4.2,震度５弱
2000/03/30,17:13:28.2,胆振地方西部,42°31.6′N,140°48.8′E,5 km,4.5,震度５弱
1999/08/21,05:33:11.3,和歌山県北部,34°01.8′N,135°28.2′E,66 km,5.6,震度５弱
1999/03/14,09:04:42.4,新島・神津島近海,34°14.2′N,139°08.2′E,9 km,5.1,震度５弱
1999/02/26,14:18:16.7,秋田県沖,39°09.3′N,139°50.2′E,21 km,5.3,震度５弱
1998/09/03,16:58:17.2,岩手県内陸北部,39°48.3′N,140°54.0′E,8 km,6.2,震度６弱
1998/08/12,15:13:03.6,長野県中部,36°14.2′N,137°37.6′E,3 km,5.0,震度５弱
1997/06/25,18:50:12.7,山口県中部,34°26.4′N,131°39.9′E,8 km,6.6,震度５強
